Сельдь слабосолёная;17.0;15.0;0.0;204.0;Морепродукты
Сельдь слабосолёная филе без кожи;22.0;13.0;0.0;205.0;Морепродукты
Семечки подсолнечника;24.0;47.3;16.1;601.0;Орехи
Семечки тыквы;29.0;46.7;13.1;596.0;Орехи
Слива;0.8;0.0;9.9;43.0;Фрукты
Сливки 11%;3.0;11.0;4.0;130.0;Молочные продукты
Сливки 22%;2.8;22.0;3.7;220.0;Молочные продукты
Сливки взбитые с заменителем сахара;2.3;26.5;4.6;266.0;Сладости
Сметана 10%;3.0;10.0;2.9;116.0;Молочные продукты
Сметана 15%;2.9;15.0;3.0;142.0;Молочные продукты
Сметана 20%;2.8;20.0;3.2;210.0;Молочные продукты
Сметана 25%;2.6;25.0;2.7;294.0;Молочные продукты
Сметана 30%;2.4;30.0;3.1;346.0;Молочные продукты
Смородина белая;0.3;0.0;8.7;39.0;Ягоды
Смородина красная;0.6;0.0;8.0;38.0;Ягоды
Смородина чёрная;1.0;0.0;8.0;40.0;Ягоды
Смородина чёрная мороженная;1.0;0.0;6.1;28.0;Ягоды
Сморчки свежие;2.9;0.4;2.0;22.0;Грибы
Соевое;0.0;99.9;0.0;899.0;Масла
Соевый соус;4.9;0.0;5.0;39.4;Соусы
Сом;17.0;5.0;0.0;113.0;Морепродукты
Сорго;11.1;3.3;66.4;323.0;Зерновые 
Соя;34.9;17.3;26.5;395.0;Зернобобовые
Спаржа;1.9;0.0;3.6;21.0;Овощи
Судак;18.4;1.1;1.3;126.0;Морепродукты
Сыр голландский;23.5;30.9;0.0;360.0;Молочные продукты
Сыр мягкий Адыгейский;16.0;18.0;2.7;238.0;Молочные продукты
Сыр мягкий домашний;17.0;4.0;1.8;114.3;Молочные продукты
Сыр плавленный President;10.0;22.2;6.5;266.0;Молочные продукты
Сыр плавленный сливочный Hochland;9.0;25.0;6.0;285.0;Молочные продукты
Сыр полутвёрдый сливочный;24.0;33.0;0.0;390.0;Молочные продукты
Сыр с плесенью Blue;21.5;50.0;20.0;347.0;Молочные продукты
Сыр твёрдый Радамер;25.0;26.0;0.0;339.0;Молочные продукты
Сыроежки свежие;1.7;0.3;2.0;17.0;Грибы
Сырок сладкий глазированный в шоколаде;7.5;25.5;33.0;391.0;Молочные продукты
Сёмга;23.0;13.0;0.0;202.0;Морепродукты
Творог жирный;14.0;18.0;2.85;232.0;Молочные продукты
Творог нежирный сухой;18.0;0.6;1.85;88.0;Молочные продукты
Творог обезжиренный жидкий;17.0;0.0;1.8;79.0;Молочные продукты
Творог полужирный;16.7;9.0;2.0;159.0;Молочные продукты
Тесто слоёное не дрожжевое;6.1;20.8;41.0;380.0;Хлебобулочные 
Томатная паста;3.5;0.6;13.9;87.0;Овощи
Томатный сок J-7 с солью;0.8;0.0;4.3;21.0;Овощи
Томаты;0.6;0.0;4.2;19.0;Овощи
Томаты - кетчуп;0.0;0.0;18.0;75.0;Овощи
